Taxon,counts,CommonName,tms
Falco cherrug,20,Saker falcon,"Saker falcon,Altai falcon,Peregrine falcon,List of birds by flight speed,Falcon,List of national birds,List of national animals,Hierofalcon,Falconidae,Saker"
Testudo hermanni,20,Hermann's tortoise,"Hermann's tortoise,Testudo (genus),Tortoise,Jackson ratio,Greek tortoise,European pond turtle,Menorca,Marginated tortoise,Egg,Uccellina Mountains"
Furcifer pardalis,19,Panther chameleon,"Panther chameleon,Furcifer,Chameleon,Blaptica dubia,Turkestan cockroach,Réunion,Petter's chameleon,Longevity,Nosy Be,Fauna of Madagascar"
Psittacus erithacus,18,Grey parrot,"Grey parrot,Psittacus,Timneh parrot,N'kisi,Parrot,Talking bird,Alex (parrot),Feather-plucking,Common chaffinch,Orango National Park"
Acipenser ruthenus,17,Sterlet,"Sterlet,Acipenser,Sturgeon,Beluga (sturgeon),Acipenser oxyrinchus,White sturgeon,Sevruga caviar,Atlantic sturgeon,Acipenseriformes,Ossetra"
Chamaeleo calyptratus,17,Veiled chameleon,"Veiled chameleon,Chameleon,Chamaeleo,Lizard,Patterns in nature,Squamata,Chromatophore,Camouflage,Metarhizium granulomatis,Ballistic movement"
Caracal caracal,17,Caracal,"Caracal,Caracal (genus),Eurocopter EC725,Caracal, Romania,Caracal pistol,Serval,Caracal (album),Disclosure (band),Caracal Battalion,Big Floppa"
Panthera leo,16,Lion,"Lion,Panthera leo leo,Panthera leo melanochaita,Asiatic lion,Panthera leo fossilis,Panthera spelaea,Panthera,American lion,Panthera leo sinhaleyus,Liger"
Boa constrictor,16,Boa constrictor,"Boa constrictor,Boa imperator,Boa constrictor occidentalis,Boa (genus),Boa constrictor (disambiguation),Boa Constrictor (song),Boa sigma,Green anaconda,Bahamian pygmy boa constrictor,List of largest snakes"
Python brongersmai,16,Python brongersmai,"Python brongersmai,Python (genus),List of largest snakes,Sumatran short-tailed python,List of pythonid species and subspecies,Olive Griffith Stull,List of snakes by scientific name,Leo Brongersma,Red blood,List of reptiles of Singapore"
Stigmochelys pardalis,16,Leopard tortoise,"Leopard tortoise,Stigmochelys,Tortoise,Yellow-footed tortoise,List of genetic hybrids,Columbus Zoo and Aquarium,List of reptiles of Africa,Verreaux's eagle,Nature's Valley,Karoo Desert National Botanical Garden"
Falco hybrid,15,Hybrid falcon,"Peregrine falcon,Gyrfalcon,Saker falcon,List of genetic hybrids,Lanner falcon,Altai falcon,Merlin (bird),Barbary falcon,Hierofalcon,The Sopranos (season 3)"
Macaca mulatta,14,Rhesus macaque,"Rhesus macaque,Metacognition,Macaca (term),SV40,Albert II (monkey),Macaque,Sundarbans,Ophidiophobia,Barbary macaque,Gray langur"
Equus zebra hartmannae,14,Mountain zebra,"Mountain zebra,Hartmann's mountain zebra,Grévy's zebra,Cape mountain zebra,Plains zebra,Zebra,Quagga,Equidae,African wild ass,Donkey"
Agapornis fischeri,14,Fischer's lovebird,"Fischer's lovebird,Lovebird,Agapornithinae,Rosy-faced lovebird,Wildlife of Rwanda,Fischer (disambiguation),List of Psittaciformes by population,List of birds of Kenya,List of introduced species,Gustav Fischer"
Platycercus eximius,14,Eastern rosella,"Eastern rosella,Rosella,Broad-tailed parrot,Platycercinae,Parrots of New Zealand,Western rosella,Feral parrot,List of animals by number of neurons,List of domesticated animals,Columbus Zoo and Aquarium"
Chelonoidis carbonarius,14,Red-footed tortoise,"Red-footed tortoise,Chelonoidis,Tortoise,Ronde Island,Yellow-footed tortoise,Columbus Zoo and Aquarium,Assiniboine Park Zoo,Biota of Trinidad and Tobago,List of amphibians and reptiles of the Grenadines,List of amphibians and reptiles of Saint Barthélemy"
Capra sibirica,14,Siberian ibex,"Siberian ibex,Capra (genus),Ibex,Markhor,Caprinae,Altai Mountains,List of mammals of New Mexico,List of mammals of India,Wildlife of Mongolia,Wildlife of Afghanistan"
Elephantidae spp.,13,Mastodon,"Quaternary extinction event,Mastodon,Mammuthus subplanifrons,Straight-tusked elephant,List of sequenced animal genomes,2018 in paleomammalogy,List of mammals of Singapore,List of prehistoric mammals of Japan,2015 in paleomammalogy,2014 in paleomammalogy"
Caiman crocodilus crocodilus,13,Spectacled caiman,"Spectacled caiman,Black caiman,Caiman,Yacare caiman,Alligatoridae,Caiman (genus),Smooth-fronted caiman,Cuvier's dwarf caiman,American alligator,Broad-snouted caiman"
Dendrobates tinctorius,13,Dyeing poison dart frog,"Dyeing poison dart frog,Blue poison dart frog,Dendrobates,Poison dart frog,Azureus,Green and black poison dart frog,History of dendrobatid frogkeeping,Neobatrachia,Columbus Zoo and Aquarium,Panaʻewa Rainforest Zoo"
Ara ararauna,13,Blue-and-yellow macaw,"Blue-and-yellow macaw,Macaw,Blue-throated macaw,Ara (bird),List of macaws,Canindeyú Department,Catalina macaw,Parrot,Martinique macaw,Charlie (parrot)"
Psephotus haematonotus,13,Red-rumped parrot,"Red-rumped parrot,Golden-shouldered parrot,Psittacine beak and feather disease,Broad-tailed parrot,Platycercinae,Australian boobook,Turquoise parrot,Birds of Eden,List of birds of Australia,List of birds of Victoria, Australia"
Morelia spilota,13,Morelia spilota,"Morelia spilota,Morelia spilota spilota,Morelia spilota mcdowelli,Morelia spilota variegata,Morelia spilota cheynei,Morelia spilota metcalfei,Morelia imbricata,Morelia (snake),Snakes of Australia,List of pythonid species and subspecies"
Centrochelys sulcata,13,African spurred tortoise,"African spurred tortoise,Centrochelys,Tortoise,Centrochelys atlantica,Mating,Agadir Crocodile park,Giant tortoise,List of genetic hybrids,Columbus Zoo and Aquarium,List of species protected by CITES Appendix II"
Ursus americanus,13,American black bear,"American black bear,Cinnamon bear,Glacier bear,Kermode bear,Newfoundland black bear,Ursus americanus carlottae,Florida black bear,Brown bear,Louisiana black bear,Ursus (mammal)"
Ursus arctos,13,Brown bear,"Brown bear,Ussuri brown bear,Eurasian brown bear,Kodiak bear,Mexican grizzly bear,Grizzly bear,Atlas bear,Kamchatka brown bear,Syrian brown bear,Gobi bear"
Amazona aestiva,12,Turquoise-fronted amazon,"Turquoise-fronted amazon,Amazon parrot,List of amazon parrots,Yellow-crowned amazon,Parrot,Yellow-headed amazon,Talking bird,Hyacinth macaw,List of Latin and Greek words commonly used in systematic names,Androglossini"
Myiopsitta monachus,12,Monk parakeet,"Monk parakeet,Myiopsitta,Bird,Feral parakeets in Great Britain,Parrot,Feral parrot,List of invasive species in Florida,Talking bird,Brotogeris,Cliff parakeet"
Platycercus elegans,12,Crimson rosella,"Crimson rosella,Rosella,Broad-tailed parrot,Platycercinae,Eastern rosella,P. elegans,Parrots of New Zealand,Heterosis,Powerful owl,Eucalyptus saligna"
Testudo horsfieldii,12,Russian tortoise,"Russian tortoise,Testudo (genus),Tortoise,Greek tortoise,List of endangered species in Pakistan,Kyzylkum Desert,Polyandry in nature,Ranavirus,Thomas Horsfield,List of reptiles of Kazakhstan"
Acipenser schrenckii,11,Japanese sturgeon,"Japanese sturgeon,Acipenser,Sturgeon,Kaluga (fish),Atlantic sturgeon,White sturgeon,Lake sturgeon,Russian sturgeon,Burkhan Khaldun,Dabry's sturgeon"
Epicrates cenchria,11,Rainbow boa,"Rainbow boa,Epicrates maurus,List of boine species and subspecies,Chilabothrus chrysogaster,Parthenogenesis,Epicrates (snake),List of snakes of Trinidad and Tobago,Columbus Zoo and Aquarium,List of reptiles of Costa Rica,List of snakes by scientific name"
Dendrobates auratus,11,Green and black poison dart frog,"Green and black poison dart frog,Dendrobates,Auratus,Sexual selection in amphibians,History of dendrobatid frogkeeping,Poison dart frog,Caribbean,Mate choice,List of domesticated animals,Panaʻewa Rainforest Zoo"
Agapornis personatus,11,Yellow-collared lovebird,"Yellow-collared lovebird,Lovebird,Agapornithinae,Axanthism,List of birds of Kenya,Birds of Eden,List of introduced species,Wildlife of Tanzania,List of birds of Africa,List of birds of Tanzania"
Pan troglodytes,10,Chimpanzee,"Chimpanzee,Central chimpanzee,Bonobo,Eastern chimpanzee,Pan (genus),Western chimpanzee,Troglodyte,Nigeria-Cameroon chimpanzee,Hominidae,Humanzee"
Acipenser stellatus,10,Starry sturgeon,"Starry sturgeon,Acipenser,Sturgeon,White sturgeon,Ossetra,Russian sturgeon,Atlantic sturgeon,Lake sturgeon,Dabry's sturgeon,Sevruga caviar"
Huso dauricus,10,Kaluga (fish),"Kaluga (fish),Huso,Beluga (sturgeon),Sturgeon,List of largest fish,White sturgeon,Amur,List of critically endangered fishes,List of freshwater fish of Russia,IUCN Red List critically endangered species (Animalia)"
Capra caucasica,10,West Caucasian tur,"West Caucasian tur,Capra (genus),List of even-toed ungulates by population,Caprinae,Pyrenean ibex,Trialetian Mesolithic,Quaternary extinction event,Capra dalii,Caucasus mixed forests,List of mammals of Europe"
Leptailurus serval,10,Serval,"Serval,Savannah cat,Caracal (genus),Caracal,Felidae,Felinae,Cat,Felid hybrid,Dog,Lion"
Amazona ochrocephala,10,Yellow-crowned amazon,"Yellow-crowned amazon,Yellow-headed amazon,Panama amazon,List of amazon parrots,Yellow-naped amazon,Amazon parrot,Talking bird,Tres Marías amazon,Roystonea regia,Venezuelan bolívar"
Eclectus roratus,10,Eclectus parrot,"Eclectus parrot,Eclectus,Oceanic eclectus parrot,Psittaculini,Talking bird,Psittaculinae,List of domesticated animals,Coconut lorikeet,Red-collared lorikeet,List of introduced species"
Forpus coelestis,10,Pacific parrotlet,"Pacific parrotlet,Forpus,Parrotlet,Celestial,List of birds of South America,List of birds of Colombia,List of birds of Ecuador,List of birds of Peru,List of parrots,IUCN Red List vulnerable species (Animalia)"
Psittacula derbiana,10,Lord Derby's parakeet,"Lord Derby's parakeet,Psittacula,Psittaculinae,Psittaculini,List of birds of India,Eastern Himalayan subalpine conifer forests,Edward Smith-Stanley, 13th Earl of Derby,List of birds of China,Louis Fraser,List of birds of Asia"
Morelia viridis,10,Green tree python,"Green tree python,List of pythonid species and subspecies,Morelia (snake),Morelia azurea,Spider-tailed horned viper,Emerald tree boa,Morelia spilota,Simalia,Green tree snake,M. viridis"
Varanus exanthematicus,10,Savannah monitor,"Savannah monitor,Rock monitor,Monitor lizard,Black-throated monitor,Komodo dragon,List of largest extant lizards,Bengal monitor,Megalania,White-throated monitor,Varanus salvadorii"
Vicugna vicugna,9,Vicuña,"Vicuña,Alpaca,Llama,Lama (genus),Camelidae,List of even-toed ungulates by population,Diergaarde Blijdorp,Opinion 2027,List of species protected by CITES Appendix I,Bactrian camel"
Uromastyx thomasi,9,Uromastyx thomasi,"Uromastyx thomasi,Uromastyx,Bertram Thomas,List of vulnerable reptiles,IUCN Red List vulnerable species (Animalia),List of largest extant lizards,IUCN Red List near threatened species (Animalia),List of least concern reptiles,Agrilus"
Corallus hortulanus,9,Corallus hortulana,"Corallus hortulana,Corallus cookii,Corallus,Corallus ruschenbergerii,List of boine species and subspecies,Squamata,List of Serpentes families,List of amphibians and reptiles of Grenada,Hortulus,List of snakes by scientific name"
Euphyllia glabrescens,9,Euphyllia glabrescens,"Euphyllia glabrescens,Euphyllia,Euphyllia paraglabrescens,Thalassotalea coralli,Thalassotalea euphylliae,Wakatobi National Park,List of marine aquarium invertebrate species,Marine wildlife of Baa Atoll,Euphylliidae,IUCN Red List near threatened species (Animalia)"
Saguinus imperator,9,Emperor tamarin,"Emperor tamarin,Tamarin,Callitrichidae,Bearded emperor tamarin,List of primates,Black-chinned emperor tamarin,List of New World monkey species,White-lipped tamarin,Great American Interchange,Cotton-top tamarin"
Papio anubis,9,Olive baboon,"Olive baboon,Baboon,List of primates,Leopard,Gibbon,Old World monkey,Mandrill,Hamadryas baboon,Primate,Brow ridge"
Papio cynocephalus,9,Yellow baboon,"Yellow baboon,Kinda baboon,Baboon,Chacma baboon,Olive baboon,Cynocephalus (disambiguation),Hamadryas baboon,Mandrill,Cynocephaly,List of Old World monkey species"
Aratinga solstitialis,9,Sun parakeet,"Sun parakeet,Aratinga,Nanday parakeet,Jandaya parakeet,Carolina parakeet,Golden-capped parakeet,Sulphur-breasted parakeet,Arini (tribe),Spix's macaw,List of Psittaciformes by population"
Bolborhynchus lineola,9,Barred parakeet,"Barred parakeet,Bolborhynchus,List of birds of Costa Rica,List of Psittaciformes by population,List of birds of Mexico,List of birds of South America,List of birds of Colombia,List of birds of Peru,List of birds of North America,List of birds of Ecuador"
Polytelis anthopeplus,9,Regent parrot,"Regent parrot,Polytelis,Polytelini,Psittaculinae,Acacia acuminata,Yorkrakine Rock,Psittacine beak and feather disease,List of Psittaciformes by population,Threatened fauna of Australia,List of birds of Australia"
Salvator rufescens,9,Red tegu,"Red tegu,Salvator (lizard),Tupinambis,Argentine black and white tegu,List of largest extant lizards,List of least concern reptiles"
Testudo marginata,9,Marginated tortoise,"Marginated tortoise,Testudo (genus),Tortoise,Greek tortoise,Sardinia,Painted turtle,Margination,List of reptiles of Italy,List of reptiles of Turkey,List of Latin and Greek words commonly used in systematic names"
Civettictis civetta,9,African civet,"African civet,Civet,Civettictis,Civetta,List of carnivorans described in the 2000s,Civet (perfumery),Musk,Viverrinae,Leopard,Tigray Region"
Capra falconeri,8,Markhor,"Markhor,Capra (genus),Sulaiman markhor,Bukharan markhor,Astor markhor,List of national animals,Kabul markhor,List of even-toed ungulates by population,East Afghan montane conifer forests,Caprinae"
Crocodylus siamensis,8,Siamese crocodile,"Siamese crocodile,Crocodylus,Saltwater crocodile,Crocodile,Nile crocodile,American crocodile,Mecistops,Cuban crocodile,Crocodylinae,West African crocodile"
Acinonyx jubatus,8,Cheetah,"Cheetah,Southeast African cheetah,Acinonyx,Northwest African cheetah,Asiatic cheetah,Northeast African cheetah,East African cheetah,Big cat,Acinonyx pardinensis,Cheetah reintroduction in India"
Panthera tigris,8,Tiger,"Tiger,Panthera tigris tigris,Siberian tiger,Bengal tiger,Panthera tigris soloensis,Caspian tiger,Panthera tigris trinilensis,Bali tiger,Liger,Malayan tiger"
Euphyllia ancora,8,Euphyllia ancora,"Euphyllia ancora,Euphyllia,Gonadotropin-releasing hormone,Reef aquarium,List of marine aquarium invertebrate species,Ridge coral,Euphylliidae,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia)"
Callithrix jacchus,8,Common marmoset,"Common marmoset,Callithrix,Self-domestication,Marmoset,List of primates,Callitrichidae,Pygmy marmoset,Rufous-bellied thrush,Great kiskadee,Squirrel cuckoo"
Terrapene carolina,8,Common box turtle,"Common box turtle,Box turtle,Eastern box turtle,Florida box turtle,Terrapene ornata,Mexican box turtle,Three-toed box turtle,Polnareff turtle,List of U.S. state reptiles,Gulf Coast box turtle"
Puma concolor,8,Cougar,"Cougar,South American cougar,North American cougar,Florida panther,Eastern cougar,Puma concolor couguar,Puma (genus),Jaguar,Messi (cougar),Big cat"
Heloderma suspectum,8,Gila monster,"Gila monster,Heloderma,Mexican beaded lizard,Helodermatidae,Heloderma exasperatum,Reptile,Urinary bladder,List of venomous animals,Anguimorpha,Heloderma charlesbogerti"
Iguana iguana,8,Iguana,"Iguana,Green iguana,Blue iguana,Iguana meat,Rhinoceros iguana,Jamaican iguana,Desert iguana,Marine iguana,Galapagos land iguana,Iguana Girl"
Barnardius zonarius,8,Australian ringneck,"Australian ringneck,28,28 (number),Platycercinae,Broad-tailed parrot,Western rosella,Psittacine beak and feather disease,Twenty Eight,Wedge-tailed eagle,Black falcon"
Cyanoliseus patagonus,8,Burrowing parrot,"Burrowing parrot,Cyanoliseus,Conure,Parrot,Hectopsyllidae,Arini (tribe),Birds of Eden,High Monte,Papagayos,Psittacofulvin"
Neopsephotus bourkii,8,Bourke's parrot,"Bourke's parrot,Pezoporini,Platycercinae,Neophema,List of birds of Australia,Birds of Eden,Bourke,List of birds of Western Australia,List of parrots"
Platycercus adscitus,8,Pale-headed rosella,"Pale-headed rosella,Rosella,Platycercinae,Eastern rosella,Broad-tailed parrot,Western rosella,Northern rosella,List of birds of Hawaii,List of birds of Australia,List of birds of Queensland"
Polytelis swainsonii,8,Superb parrot,"Superb parrot,Polytelis,Regent parrot,Polytelini,Eucalyptus camaldulensis,Psittaculinae,Southeast Australia temperate savanna,List of birds of Australia,Birds of Eden,Threatened fauna of Australia"
Psittacula eupatria,8,Alexandrine parakeet,"Alexandrine parakeet,Psittacula,Parakeet,Rose-ringed parakeet,Seychelles parakeet,Mascarene parrot,Psittaculinae,Psittaculini,Epauletted parakeets,Echo parakeet"
Kinixys erosa,8,Forest hinge-back tortoise,"Forest hinge-back tortoise,Kinixys,Tortoise,List of Latin and Greek words commonly used in systematic names,Serrated tortoise (disambiguation),Pelusios,List of reptiles of the Democratic Republic of the Congo,List of reptiles of Ghana,Serrated tortoise,List of fauna of Rivers State"
Scleractinia spp.,8,Stony corals,"List of species protected by CITES Appendix II,CITES,Alcyonacea,List of threatened species of the Philippines,Pocillopora,Euphyllia,Fungia,Fungiidae,List of animals of Long Island Sound,Madrepora oculata"
Elephas maximus,7,Asian elephant,"Asian elephant,Indian elephant,Elephas,Borneo elephant,Syrian elephant,Sri Lankan elephant,Sumatran elephant,Elephant,Javan elephant,Mastodon"
Lemur catta,7,Ring-tailed lemur,"Ring-tailed lemur,Lemur,Ring-tailed lemur vocalizations,Lemuridae,Common brown lemur,Territory (animal),Dominance hierarchy,List of lemur species,List of primates,Collared brown lemur"
Ceratotherium simum simum,7,Southern white rhinoceros,"Southern white rhinoceros,White rhinoceros,Northern white rhinoceros,Rhinoceros,Semen collection,Ceratotherium,Indian Ocean,Blood sugar level,Odd-toed ungulate,Ezemvelo KZN Wildlife"
Acropora spp.,7,Stony corals,"Coral reefs of Kiribati,Tuvalu,Lugol's iodine,Coral reefs of Tuvalu,List of marine cnidarians of South Africa,Elkhorn coral,Pigeon Island National Park,Acropora pulchra,Acropora grandis,Cymo melanodactylus"
Uromastyx geyri,7,Uromastyx geyri,"Uromastyx geyri,Uromastyx,List of reptiles of Africa,Wildlife of Mali,Assiniboine Park Zoo"
Kobus leche,7,Lechwe,"Lechwe,Kafue lechwe,Roberts' lechwe,Upemba lechwe,List of even-toed ungulates by population,Cape lechwe,Waterbuck,List of African animals extinct in the Holocene,Reduncinae,United States Fish and Wildlife Service list of endangered mammals and birds"
Canis lupus,7,Wolf,"Subspecies of Canis lupus,Wolf,Dog,Canis lupus dingo,Red wolf,Eastern wolf,Arabian wolf,Dire wolf,Evolution of the wolf,Japanese wolf"
Dendrobates leucomelas,7,Yellow-banded poison dart frog,"Yellow-banded poison dart frog,Dendrobates,Poison dart frog,History of dendrobatid frogkeeping,Batesian mimicry,Canaima National Park,List of Anuran families,Frogs in captivity,Rockstone poison dart frog,Panaʻewa Rainforest Zoo"
Caulastraea spp.,7,Stony corals,
Fungia spp.,7,Fungia,"Fungia,Fungiidae,List of threatened species of the Philippines,Herpolitha,Cyril Crossland,Coral reefs of Kiribati,List of marine cnidarians of South Africa"
Pionites melanocephalus,7,Black-headed parrot,"Black-headed parrot,Caique,Melanocephalus,Blackhead (disambiguation),List of birds of South America,Birds of Eden,List of birds of Brazil,List of birds of Ecuador,List of birds of Venezuela,List of birds of Guyana"
Polytelis alexandrae,7,Princess parrot,"Princess parrot,Polytelis,Polytelini,Psittaculinae,Regent parrot,Spinifex parrot,Birds of Eden,List of birds of Australia,List of Psittaciformes by population,Threatened fauna of Australia"
Psittacula cyanocephala,7,Plum-headed parakeet,"Plum-headed parakeet,Psittacula,Blossom-headed parakeet,Intermediate parakeet,Psittaculini,Psittaculinae,Diergaarde Blijdorp,List of birds of Pakistan,List of birds of Sri Lanka,List of birds of China"
Hippocampus reidi,7,Slender seahorse,"Slender seahorse,Seahorse,Fish,List of fishes of Florida,Dwarf seahorse,Diergaarde Blijdorp,List of marine aquarium fish species,Taganga,Conservation in Belize,List of data deficient fishes"
Salvator merianae,7,Argentine black and white tegu,"Argentine black and white tegu,Salvator (lizard),Tupinambis,Tegu,Necrophilia,Red tegu,Non-reproductive sexual behavior in animals,Maria Sibylla Merian,List of largest extant lizards,List of invasive species in Florida"
Kinixys belliana,7,Bell's hinge-back tortoise,"Bell's hinge-back tortoise,Kinixys,Tortoise,Lobatse hinge-back tortoise,Speke's hinge-back tortoise,Cryptodira,Home's hinge-back tortoise,Forest hinge-back tortoise,List of reptiles of South Africa,Thomas Bell (zoologist)"
Varanus acanthurus,7,Spiny-tailed monitor,"Spiny-tailed monitor,Monitor lizard,Varanus (Odatria),Komodo dragon,Bengal monitor,Varanus insulanicus,Megalania,Black-spotted ridge-tailed monitor,Varanus salvadorii,Perentie"
Capra hircus aegagrus,7,Capra (genus),"Capra (genus),Kri-kri,Bezoar ibex,Wild goat,Goat,Feral goat,Caprinae,Grewia bicolor,Markhor,List of species protected by CITES Appendix III"
Mellivora capensis,7,Honey badger,"Honey badger,Mellivora,Badger,Gottlieb Conrad Christian Storr,List of carnivorans described in the 2000s,Tigray Region,Sea mink,Cape fox,Mole snake,Gastonia Honey Hunters"
Leontopithecus chrysomelas,6,Golden-headed lion tamarin,"Golden-headed lion tamarin,List of primates by population,Lion tamarin,Callitrichidae,Golden lion tamarin,List of primates,List of New World monkey species,Black lion tamarin,Bahia coastal forests,List of mammals of South America"
Crocodylus acutus,6,American crocodile,"American crocodile,Crocodylus,Saltwater crocodile,Cuban crocodile,Nile crocodile,Crocodile,Mecistops,West African crocodile,Crocodylinae,Orinoco crocodile"
Cyanoramphus novaezelandiae,6,Red-crowned parakeet,"Red-crowned parakeet,Cyanoramphus,Kākāriki,Kermadec red-crowned parakeet,Norfolk parakeet,Rose-fronted parakeet,List of extinct bird species since 1500,Platycercinae,Antipodes parakeet,Parrots of New Zealand"
Accipiter gentilis,6,Northern goshawk,"Northern goshawk,Accipiter,Goshawk,Canada goose,A. gentilis,Cooper's hawk,Common buzzard,Eurasian sparrowhawk,Punjab, India,Bird of prey"
Parabuteo unicinctus,6,Harris's hawk,"Harris's hawk,Parabuteo,Falconry,Accipitridae,Great blue heron,Accelerometer,Wild turkey,Pursuit predation,Aridoamerica,Southwestern United States"
Acipenser hybrid,6,Russian Sturgeon,"Hybrid (biology),Sturgeon,Russian sturgeon,List of genetic hybrids,Sturddlefish,List of freshwater fishes of Washington,Extinct in the wild,Polyploidy,Caviar,Angling records in the United Kingdom"
