text,label
Treasuries Fall as Oil Retreats (Reuters) Reuters - U.S. Treasury debt prices fell on\Monday as investors focused on a pullback in oil prices from\record highs and largely shrugged off dismal results from a\regional manufacturing survey.,2
"Stocks Sharply Higher on Dip in Oil Prices NEW YORK - A drop in oil prices and upbeat outlooks from Wal-Mart and Lowe's prompted some bargain-hunting on Wall Street, sending stocks sharply higher Monday, with the swing exaggerated by thin late summer trading. The Dow Jones industrials surged more than 120 points higher in late trading...",0
Stocks Bounce Back as Oil Retreats  NEW YORK (Reuters) - U.S. stocks rebounded on Monday as  worry about oil prices crunching corporate profits eased when  crude retreated from record highs.,2
Husky Energy signs seventh contract with China National Offshore Oil Corp. (Canadian Press) Canadian Press - CALGARY (CP) - Husky Energy Inc. has further strengthened its relationship with one of China's major oil companies by signing a new exploration agreement in the South China Sea.,0
"Dow Closes Up 129 As Oil Prices Drop NEW YORK - A drop in oil prices and upbeat outlooks from Wal-Mart and Lowe's helped send stocks sharply higher Monday on Wall Street, with the swing exaggerated by thin late summer trading. The Dow Jones industrials surged nearly 130 points...",0
"Oil Prices Retreat From a Record High After Chvez Victory Crude oil for delivery next month settled at \$46.05 a barrel, down 53 cents, on the New York Mercantile Exchange after briefly trading at a new high of \$46.91 early in the day.",2
Shell-Led Russia Venture Vows to Protect Rare Whales (Reuters) Reuters - A Royal Dutch/Shell -led group\developing oil and gas fields in the Russian far east moved to\assure worried ecologists on Friday it is doing all it can to\protect rare gray whales living in the coastal waters.,3
Interior Will Delay Some Energy Projects (AP) AP - The Interior Department said Monday it will begin delaying some new oil and gas drilling projects until the effects on wildlife are studied more thoroughly.,3
"Venezuela Votes by Large Margin to Retain Chvez An opposition movement refused to accept the results, raising prospects for more turmoil in the world's fifth-largest oil exporter.",0
Nikkei Higher by Midday  TOKYO (Reuters) - Gains in banks and exporters helped lift  Tokyo's Nikkei 0.84 percent by midday on Tuesday as a fall in  crude oil prices and a rebound in U.S. stocks led buyers to  pick up shares hit by the index's recent sharp losses.,2
Nikkei Rises by Midday  TOKYO (Reuters) - Gains in banks and exporters helped lift  Tokyo's Nikkei average 0.84 percent by midday on Tuesday as a  fall in crude oil prices and a rebound in U.S. stocks led  buyers to pick up shares hit by the index's recent sharp  losses.,2
Nikkei Rises by Midday (Reuters) Reuters - Gains in banks and exporters helped lift\Tokyo's Nikkei average 0.84 percent by midday on Tuesday as a\fall in crude oil prices and a rebound in U.S. stocks led\buyers to pick up shares hit by the index's recent sharp\losses.,0
Stocks End Sharply Higher as Oil Prices Drop A pull back in oil prices and upbeat outlooks from Wal-Mart and Lowe's prompted new bargain-hunting on Wall Street today.,2
Iraqi Delegation Set for Najaf Peace Bid (Reuters) Reuters - Iraqi political and religious leaders\prepared to go to the holy city of Najaf on Tuesday in a\last-ditch bid to persuade a radical Shi'ite cleric to end a\rebellion that has killed hundreds and rattled oil markets.,0
Iraqi Delegation Set for Najaf Peace Bid  BAGHDAD (Reuters) - Iraqi political and religious leaders  prepared to go to the holy city of Najaf on Tuesday in a  last-ditch bid to persuade a radical Shi'ite cleric to end a  rebellion that has killed hundreds and rattled oil markets.,0
Tokyo Shares Rise But Oil Worries Weigh  SINGAPORE (Reuters) - Japanese shares rebounded from  three-month lows on Tuesday but stubbornly high oil prices and  concern over their impact on corporate earnings capped gains.,2
"Stocks surge amid upbeat outlooks NEW YORK -- A drop in oil prices and upbeat outlooks from Wal-Mart and Lowe's helped send stocks sharply higher yesterday, with the swing exaggerated by thin late summer trading. The Dow Jones industrials surged nearly 130 points.",2
"NY Seen Steady; Eyes on AMAT, Motorola (Reuters) Reuters - Wall Street was set for a steady start\on Tuesday as crude oil prices eased, with results from chip\group Applied Materials (AMAT.O) and inflation data a focus,\while shares in a bullish Motorola (MOT.N) may rise.",0
Oil giant Yukos in plea for time Russian oil giant Yukos is to ask a Moscow court for more time to pay its tax bill.,2
"Higher oil prices to trim China's 2004 GDP growth (AFP) AFP - Surging oil prices could moderate China's economy this year as rising costs push inflation higher, hitting corporate profits and consumer pocket books, analysts and state press said.",0
Stocks to Be in a Cautious Mood at Open NEW YORK - U.S. stocks are seen in a cautious mood at the open Tuesday as investors weigh up the merits of Monday's oil-inspired rally...,0
"US hurricane victims face turmoil Many victims of Florida's worst hurricane for years are still homeless, with no electricity or telephone services.",0
"German investor confidents slides on high oil prices (AFP) AFP - Investor confidence in Germany has declined more sharply than anticipated, a major economic think tank said, as high oil prices put a damper on hopes of a continuation of the nascent recovery.",2
Court to Consider Yukos' Plea on Tax Bill (AP) AP - A Russian court on Tuesday was to consider the beleaguered Yukos oil company's appeal to suspend government efforts to collect  #36;3.4 billion in back taxes  #151; a massive bill that has put Russia's largest oil producer on the verge of ruin.,0
High oil prices hit China growth Rising oil prices are expected to hit China's growth rate this year.,2
"Stocks Rise on Drop in Consumer Prices NEW YORK - Stocks rose for a second straight session Tuesday as a drop in consumer prices and a decline in crude oil futures Tuesday allowed investors to put aside worries about inflation, at least for the short term. The Dow Jones industrial average pushed past the 10,000 mark for the first time in nearly two weeks...",0
"Oil Falls on Reduced Concern About Venezuelan, Russian Supply Aug. 17 (Bloomberg) -- Crude oil futures fell for a second day after a Russian state railway official said shipments of Yukos Oil Co. oil would continue and Venezuelan President Hugo Chavez won a recall vote. ",2
"Stocks Rise on Drop in Consumer Prices A drop in consumer prices and a decline in crude oil futures Tuesday allowed investors to put aside worries about inflation, at least for the short term, and they sent stocks modestly higher. ",2
"Stocks Up on Earnings, Oil, Economic Data  NEW YORK (Reuters) - U.S. stocks rose on Tuesday, getting a  boost from some strong retail earnings, lower oil prices and  two separate economic reports that showed inflationary pressure  was held in check and U.S. housing starts rebounded sharply in  July.",2
"Yukos Can Ship Oil Amid Tax Dispute, Russia Rail Says (Update5) Aug. 17 (Bloomberg) -- Russia #39;s state-owned railway, the shipper of a fourth of OAO Yukos Oil Co. #39;s crude oil, said it will guarantee exports, the clearest sign yet President Vladimir Putin wants to ensure supplies to world markets. ",2
Court Rejects Yukos' Plea on Tax Bill A Russian court today rejected the beleaguered oil company's appeal to suspend government efforts to collect \$3.4 billion in back taxes.,2
Russian Arbitration Court Rejects Yukos Plea The giant Russian oil firm Yukos has failed to convince a Moscow arbitration court to suspend the sale by bailiffs of its Siberian subsidiary to satisfy a \$3.4 billion tax debt. ,2
"Stocks Higher on Economic Data, Earnings  NEW YORK (Reuters) - U.S. stocks traded higher on Tuesday,  despite oil prices hitting a new high before falling back, as  U.S. economic reports showed an easing of inflationary pressure  and a sharp rebound in the housing market.",2
"Stocks up on positive consumer price report NEW YORK (AP) - A drop in consumer prices and a decline in crude oil futures Tuesday allowed investors to put aside worries about inflation, at least for the short term, and they sent stocks modestly higher. ",2
"Stocks Climb on Drop in Consumer Prices NEW YORK - Another jump in oil prices pre-empted a rally on Wall Street Tuesday, though stocks managed to post modest gains on the strength of the latest consumer price report, which put many investors' inflation fears to rest for the near term.    Stocks started the session strong after the government's Consumer Price Index registered a small drop in July, giving consumers a respite from soaring energy prices...",0
Treasuries Gain After Tame Inflation  NEW YORK (Reuters) - Treasury debt prices rose on Tuesday  after July inflation figures proved subdued and soaring oil  prices pointed to slower U.S. consumer spending down the line.,2
"Stocks End Higher, Lifted by Data  NEW YORK (Reuters) - U.S. stocks ended higher on Tuesday,  even as oil prices hit another record, as investors  were  encouraged by data showing an easing of inflationary pressure  and a sharp rebound in the housing market.",2
Court Rejects Yukos #39; Appeals About Tax Claim Yukos suffered a double blow Tuesday when the Moscow Arbitration Court rejected attempts by the oil major to cover part of a \$3.4 billion bill in back taxes and postpone collection of the claim. ,2
"Stocks End Higher, Lifted by Data NEW YORK (Reuters) - US stocks ended higher on Tuesday, even as oil prices hit another record, as investors were encouraged by data showing an easing of inflationary pressure and a sharp rebound in the housing market. ",2
"Stocks Up on Data, Despite Oil's Rise  NEW YORK (Reuters) - U.S. stocks ended higher for a third  successive day on Tuesday, even as oil prices rose to another  record, after investors were encouraged by data showing an  easing of inflationary pressure and a sharp rebound in the  housing market.",2
"Treasuries, Oil Up, Inflation in Check  NEW YORK (Reuters) - Treasury debt prices rallied on  Tuesday, dragging yields to four-month lows as July inflation  figures proved subdued and soaring oil prices pointed to slower  U.S. consumer spending down the line.",2
"Yukos woes flare up again, offsetting Venezuela vote SAN FRANCISCO (CBS.MW) -- Crude futures headed higher Tuesday to close at a new historic level near \$47 a barrel, following news that a Russian court has rejected a plea from oil giant Yukos to suspend government efforts to collect a \$3.4 billion tax ...",2
"Wall Street closes higher, but record oil prices cap day #39;s gains NEW YORK : Wall Street shares closed higher on Tuesday, but record oil prices capped the day #39;s gains amid concerns over a multi-billion-dollar tax bill facing Russian oil giant Yukos. ",2
"Confidence drops in Germany Investor confidence in Germany, Europe #39;s biggest economy, dropped in August to the lowest level in more than a year, according to data released on Tuesday, amid concern that record oil prices would crimp global growth and impede a recovery in consumer ...",2
Crude Oil Trades Near Record on US Economic Growth Report Aug. 18 (Bloomberg) -- Crude oil futures in New York traded near a record \$46.95 a barrel as strengthening US economic figures boosted concern that production capacity may not be adequate to meet global demand. ,2
Tokyo Stocks Mixed; Dollar Down Vs. Yen (AP) AP - Tokyo stocks were mixed early Wednesday as concerns about high oil prices vied for buying prompted by Wall Street's strength. The dollar was trading lower against the Japanese yen.,0
Japan Stocks Turn Lower on Oil Worries  TOKYO (Reuters) - Tokyo's Nikkei average turned lower by  late morning on Wednesday as concern over surging oil prices  and their possible impact on the global economy hit exporters  such as Toyota Motor Corp.,2
"Crude rises on Iraq troubles SEPTEMBER oil prices rose yesterday on US economic data showing that inflationary pressure was held in check in July. However, continued disruption in Iraqi supplies and strong world fuel demand and ongoing trouble at Russian oil giant Yukos underpinned ...",2
"Bankruptcy fears as Yukos #39; half-year loss hits \$2.65bn YUKOS has reported a net loss of US\$2.65 billion (1.45bn) for the first half of 2004, a period of record oil prices, prompting speculation that the Russian oil firm is on the verge of declaring bankruptcy. ",2
"Wall Street takes heart from positive economic reports A NEW record high for oil took some of the shine off Wall Street trade yesterday. An upbeat picture of inflation and good housing data boosted the mood early on and strong earnings from several retailers, led by Home Depot, also helped to keep the major ...",2
"What Next for Venezuela? President Hugo Chavez is riding high after his overwhelming victory in a recall vote this week, but analysts say his triumph may have limited impact on the deep economic and political problems threatening this major oil-producing country.",0
"Japan Stocks Fall on Oil Worries TOKYO (Reuters) - Tokyo #39;s Nikkei average fell 0.59 percent by midday on Wednesday, erasing initial gains, as exporters like Nissan Motor Co. Ltd. declined on concern over the possible impact on the global economy of surging oil prices. ",2
"Yukos, Iraq push oil higher NEW YORK -- Oil prices have moved to fresh record highs of almost \$47 a barrel on concerns about potential supply disruptions in Russia and Iraq. ",2
"US Stocks Gain for a Third Day, Led by Home Depot, Retailers Aug. 17 (Bloomberg) -- US stocks rose for a third straight day after an unexpected drop in consumer prices encouraged investors that the Federal Reserve may be able to slow the pace of interest rate increases. Benchmark indexes pared gains as oil prices ...",2
"Analysis: Venezuela off oil market #39;s front burner LOS ANGELES, Aug. 17 (UPI) -- Oil futures reached a record high Tuesday as the market fretted over simmering potential pitfalls other than last weekend #39;s vote in Venezuela that kept controversial strongman Hugo Chavez in the presidency. ",2
"Asian Shares Mixed as Oil Steady Near \$47  SINGAPORE (Reuters) - High oil prices kept Asian stock  markets in check on Wednesday as investors fretted over the  impact of energy costs on corporate earnings, but an upbeat  outlook from Applied Materials lifted some tech issues.",2
"Asian Shares Mixed as Oil Steady Near  #36;47 (Reuters) Reuters - High oil prices kept Asian stock\markets in check on Wednesday as investors fretted over the\impact of energy costs on corporate earnings, but an upbeat\outlook from Applied Materials lifted some tech issues.",2
"Oil Prices Hold Near \$47 on Iraq Threat  LONDON (Reuters) - Oil prices held steady near \$47 a barrel  on Wednesday a day after setting yet another record when the  United States, the world's biggest oil consumer, said inflation  had stayed in check despite rising energy costs.",2
Euro Stocks Slip  LONDON (Reuters) - High oil prices weighed on investor  sentiment across financial markets on Wednesday as the price of  crude stuck stubbornly close to \$47 a barrel.,2
"Wall Street Set to Open Down (Reuters) Reuters - U.S. shares were expected to open lower\on Wednesday after crude oil pushed to a fresh high overnight,\while Web search engine Google Inc. dented sentiment as it\slashed the price range on its initial public offering.\In a statement posted on its IPO Web site, Google said it had\cut the range on its IPO to  #36;85- #36;95 per share from  #36;108- #36;135\previously, a 26 percent reduction at the mid-point of the\range.",2
U.S. Crude Sets New Record  #36;47 a Barrel (Reuters) Reuters - U.S. oil futures set a new record  #36;47.01\a barrel on Wednesday after a new threat against Iraq's oil\sector by rebel Shi'ite militia.  U.S. crude traded up 26 cents\to set a new high in the 21-year history of the New York\Mercantile Exchange contract.,2
"Wall Street Set to Open Down  LONDON (Reuters) - U.S. shares were expected to open lower  on Wednesday after crude oil pushed to a fresh high overnight,  while Web search engine Google Inc. dented sentiment as it  slashed the price range on its initial public offering.",2
Crude Oil Prices Climb to Record Before US Inventory Report Aug. 18 (Bloomberg) -- Crude oil prices rose to a record in New York before a government report that #39;s expected to show the third straight weekly drop in US crude oil inventories. ,2
"Oil hits new record on fresh Iraq threat LONDON (Reuters) - Oil prices have surged to a new high of \$47 a barrel after a new threat by rebel militia against Iraqi oil facilities, and as the United States says inflation has stayed in check despite rising energy costs. ",2
"OPEC: 'Very Small' Impact from Surge  LONDON (Reuters) - OPEC producers have said they see little  impact on economic growth so far from oil's relentless price  surge, which Wednesday racked up yet another record high.",2
Stocks Are Seen Off a Touch at Open US stocks are seen off a touch at the open Wednesday as the price of oil continues to plague investor sentiment. ,2
High oil prices not hurting German economy: Schroeder (AFP) AFP - German Chancellor Gerhard Schroeder said that the hike in oil prices was not currently hurting the eurozone's biggest economy but that he was closely watching the cost of crude.,0
Stocks Are Seen Off a Touch at Open NEW YORK - U.S. stocks are seen off a touch at the open Wednesday as the price of oil continues to plague investor sentiment...,0
High oil costs hit more airlines Air France becomes the latest major airline to raise ticket prices in response to higher fuel costs.,2
Oil tops \$47 a barrel Crude oil prices reached a record high of \$47.04 (US) a barrel in pre-market trading Wednesday in New York on lingering concerns about supply from Iraq and Russia. ,2
High oil costs hit more airlines Air France and KLM ticket prices are to rise after the carriers imposed further surcharges to counter high fuel costs. ,2
"Yukos sells gas stake YUKOS has sold a 56 per cent stake in a Siberian natural gas company to the Anglo-Russian joint venture TNK-BP to pay off its crushing tax bill, Western oil sources and media reports said today. ",2
Futures point lower US stock futures pointed to a weaker start Wednesday as rising oil prices and a major price cut for Google Inc. #39;s highly anticipated initial public offering raised investors #39; eyebrows. ,2
"Stocks Set to Open Lower as Oil Hits High  NEW YORK (Reuters) - Stocks are set to open lower on  Wednesday after crude oil pushed to a fresh high overnight and  Google Inc. slashed its initial public offering price, which  appeared to dampen investor sentiment.",2
Oil Prices Surge to a New High Today Oil prices surged to a new high above \$47 a barrel spurred by concern for the safety of oil facilities in Iraq.,2
Oil at New Record  LONDON (Reuters) - Oil prices surged to a new high above  \$47 a barrel on Wednesday on evidence from major economies that  energy costs are not substantially slowing the economic growth  that fuels oil demand. Fresh threats by rebel militia in Iraq  against oil facilities helped underpin price gains.,2
"Supply worries push oil to record Oil prices have continued their record-breaking run on Wednesday, busting through the \$47-mark amid concerns that demand will outstrip supply. ",2
"8/17/04 - Us Concerned About Yukos US officials have expressed concern about the fate of Yukos, the Russian oil company. Yukos shares have dropped sharply in value since the Russian government demanded it pay nearly three and a half billion dollars in back taxes. Russian authorities accuse ...",2
"Stocks Open Lower NEW YORK (Reuters) - US stocks fell at the open on Wednesday after crude oil pushed to a fresh high and Google Inc. slashed its initial public offering price, which appeared to dampen investor sentiment. ",2
"Crude Oil Prices Surge Again Crude oil prices surged again Wednesday, rising above \$47 a barrel amid lingering concerns in supply from Iraq and Russia.",2
"Economies Not Yet Dented by Oil Prices  LONDON (Reuters) - OPEC oil producers and Chancellor  Schroeder of Germany, which is a prominent consumer, agree that  the remorseless rise in the price of crude has so far had  little impact on global economic growth.",2
"Stocks Up; Investors Bottom Fishing  NEW YORK (Reuters) - U.S. stocks were higher on Wednesday  as investors bought beaten-down shares, even as the price of  oil jumped to new 21-year record highs.",2
"US oil stockpiles drop NEW YORK (CNN/Money) - US stockpiles of crude oil fell by 1.3 million barrels last week, the government reported Wednesday, sending prices to another record high. ",2
"Economies Not Yet Dented by Oil Prices (Reuters) Reuters - OPEC oil producers and Chancellor\Schroeder of Germany, which is a prominent consumer, agree that\the remorseless rise in the price of crude has so far had\little impact on global economic growth.",2
"OPEC Hawks Want to Keep Prices High Raise prices. Ease production. For weeks ahead of this week #39;s OPEC meeting, hawks in the organization have been talking tough about the need to keep oil revenues high - and lowering output.",2
"Update 3: Russia: China to Cover Yukos #39; Rail Fees China has agreed to step in and pay Russian rail fees to ensure that it continues to receive Yukos oil if the company is unable to cover the transport costs, officials at Russia #39;s rail transport monopoly said Wednesday. ",2
Stocks Gain as Oil Ease from New High  NEW YORK (Reuters) - U.S. stocks were higher on  Wednesday  as investors bought beaten-down shares and oil prices eased  from the new 21-year record high hit earlier in the session.,2
Oil Falls to 3-Month Low as Heating-Oil Supplies Probably Rose Crude oil fell to a three-month low on speculation that warm weather and increased refinery production have bolstered US heating-oil stockpiles.,2
German investor confidence surges BERLIN - German investor confidence posted a surprise jump in December as relief over falling oil prices helped to offset concerns about the impact of a surging euro on growth in Europe #39;s biggest economy.,0
"Stocks Up; Traders Eye Crude Oil Prices  NEW YORK (Reuters) - U.S. stocks made gains on Wednesday as  investors bought beaten-down shares, while strength in oil  prices pushed up energy companies such as Exxon Mobil Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=XOM.N target=/stocks/quickinfo/fullquote""&gt;XOM.N&lt;/A&gt;",2
"Oil at \$47, Economic Impact Seen as Muted LONDON (Reuters) - Oil prices surged to a new high above \$47 a barrel on Wednesday on evidence that energy costs are not substantially slowing the economic growth that fuels oil demand. ",2
Russia investors skeptical of Yukos mad scramble for cash (AFP) AFP - Yukos scrambled to scrape together cash for a crushing tax bill by selling off one of its gas companies in the face of deep investor skepticism that Russia's oil giant could survive its standoff with the state.,0
"Stocks End Higher, Dow Back Above 10,000  NEW YORK (Reuters) - U.S. stocks ended higher on Wednesday,  as investors shrugged off record crude oil prices and bought  beaten-down shares, pushing blue chips to close above 10,000  for the first time in 3 weeks.",2
"Stocks Close Higher, Dow Above 10,000  NEW YORK (Reuters) - U.S. stocks ended higher on Wednesday,  as investors shrugged off record crude oil prices and bought  beaten-down shares, pushing blue chips to close above 10,000  for the first time in 2 weeks.",2
"Stocks End Higher, Dow Back Above 10,000 NEW YORK (Reuters) - US stocks ended higher on Wednesday, as investors shrugged off record crude oil prices and bought beaten-down shares, pushing blue chips to close above 10,000 for the first time in 3 weeks. ",2
"Crude oil crosses the \$47 per barrel mark NEW YORK, August 18 (New Ratings)  Crude oil prices reached new record high levels today, following the US Energy Department report regarding the expanded operations by the US refineries and increased gasoline demand for this year. ",2
"Ukraine in Turmoil as Agreement Crumbles  KIEV, Ukraine (Reuters) - Ukraine's outgoing leader denied  on Tuesday he had agreed on concessions with his opponents to  end a crisis that has plunged the country into turmoil and  driven a wedge between Russia and the West.",0
"Oil Prices Set Another Record ARIS, Aug. 18 - Oil prices climbed above \$47 a barrel today, setting yet another record, after figures showed supplies in the United States were down for a third consecutive week while a report from OPEC highlighted the threat of high oil ...",2
