Taxon,CommonName
Kinixys erosa,Forest hinge-back tortoise
Scleractinia spp.,Stony corals
Elephas maximus,Asian elephant
Lemur catta,Ring-tailed lemur
Ceratotherium simum simum,Southern white rhinoceros
Acropora spp.,Stony corals
Uromastyx geyri,Uromastyx geyri
Kobus leche,Lechwe
Canis lupus,Wolf
Dendrobates leucomelas,Yellow-banded poison dart frog
Caulastraea spp.,Stony corals
Fungia spp.,Fungia
Pionites melanocephalus,Black-headed parrot
Polytelis alexandrae,Princess parrot
Psittacula cyanocephala,Plum-headed parakeet
Hippocampus reidi,Slender seahorse
Salvator merianae,Argentine black and white tegu
Kinixys belliana,Bell's hinge-back tortoise
Varanus acanthurus,Spiny-tailed monitor
Capra hircus aegagrus,Capra (genus)
Mellivora capensis,Honey badger
Leontopithecus chrysomelas,Golden-headed lion tamarin
Crocodylus acutus,American crocodile
Cyanoramphus novaezelandiae,Red-crowned parakeet
Accipiter gentilis,Northern goshawk
Parabuteo unicinctus,Harris's hawk
Acipenser hybrid,Russian Sturgeon
Uromastyx dispar,Uromastyx
Uromastyx princeps,Uromastyx princeps
Corallus caninus,Emerald tree boa
Epicrates maurus,Epicrates maurus
Ovis punjabiensis,Urial
Cacatua leadbeateri,Major Mitchell's cockatoo
Eolophus roseicapilla,Galah
Colobus guereza,Mantled guereza
Epipedobates anthonyi,Anthony's poison arrow frog
Turbinaria spp.,Turbinaria (coral)
Favia spp.,Stony corals
Favites spp.,Stony corals
Agalychnis callidryas,Agalychnis callidryas
Trichoglossus haematodus,Coconut lorikeet
Lobophyllia spp.,Stony corals
Symphyllia spp.,Stony corals
Ornithoptera priamus,Ornithoptera priamus
Echinophyllia spp.,Pectiniidae
Pocillopora spp.,Pocillopora
Goniopora spp.,Goniopora
Porites spp.,Porites
Alisterus scapularis,Australian king parrot
Aprosmictus erythropterus,Red-winged parrot
Ara chloropterus,Red-and-green macaw
Diopsittaca nobilis,Red-shouldered macaw
Neophema splendida,Scarlet-chested parrot
Pyrrhura molinae,Green-cheeked parakeet
Tupinambis teguixin,Tupinambis
Aldabrachelys gigantea,Aldabra giant tortoise
Poecilotheria metallica,Poecilotheria metallica
Poecilotheria regalis,Poecilotheria regalis
Graptemys pseudogeographica,Graptemys
Lutra lutra,Eurasian otter
Scleropages formosus,Asian arowana
Ara macao,Scarlet macaw
Montipora spp.,Pigeon Island National Park
Calabaria reinhardtii,Calabar python
Philantomba monticola,Blue duiker
Carcharhinus falciformis,Silky shark
Callithrix pygmaea,Pygmy marmoset
Cercopithecus mitis,Blue monkey
Phyllobates terribilis,Golden poison frog
Lonchura oryzivora,Java sparrow
Felis silvestris,European wildcat
Gekko gecko,Tokay gecko
Phelsuma grandis,Phelsuma grandis
Phelsuma klemmeri,Yellow-headed day gecko
Isurus oxyrinchus,Shortfin mako shark
Perodicticus potto,Potto
Galaxea spp.,Galaxea fascicularis
Ornithoptera goliath,Ornithoptera goliath
Pionites leucogaster,Green-thighed parrot
Poicephalus gulielmi,Red-fronted parrot
Bothrochilus boa,Bismarck ringed python
Sphyrna zygaena,Smooth hammerhead
Pecari tajacu,Collared peccary
Brachypelma hamorii,Brachypelma hamorii
Varanus albigularis,Rock monitor
Pseudois nayaur,Bharal
Canis aureus,Golden jackal
Corallium elatius,Precious coral
Odobenus rosmarus,Walrus
Potamotrygon motoro,Ocellate river stingray
Megaptera novaeangliae,Humpback whale
Oryx dammah,Scimitar oryx
Probosciger aterrimus,Palm cockatoo
Callimico goeldii,Goeldi's marmoset
Panthera uncia,Snow leopard
Astrochelys radiata,Radiated tortoise
Ambystoma mexicanum,Axolotl
Anguilla anguilla,European eel
Gongylophis colubrinus,Eryx colubrinus
Lichanura trivirgata,Desert rosy boa
Ovis cycloceros cycloceros,Urial
Cacatua ducorpsii,Solomons cockatoo
Cacatua galerita,Sulphur-crested cockatoo
Catalaphyllia jardinei,Catalaphyllia
Euphyllia divisa,Euphyllia divisa
Plerogyra sinuosa,Plerogyra sinuosa
Callithrix geoffroyi,White-headed marmoset
Saguinus labiatus,White-lipped tamarin
Cercopithecus neglectus,De Brazza's monkey
Chlorocebus pygerythrus,Vervet monkey
Cordylus tropidosternum,East African spiny-tailed lizard
Crocodylus novaeguineae,New Guinea crocodile
Phyllobates bicolor,Phyllobates bicolor
Phyllobates vittatus,Phyllobates
Tubastraea spp.,Stony corals
Turbinaria peltata,Turbinaria peltata
Naja naja,Naja
Glyptemys insculpta,Wood turtle
Goniastrea spp.,Stony corals
Lynx canadensis,Canada lynx
Phelsuma laticauda,Gold dust day gecko
Phelsuma madagascariensis,Phelsuma madagascariensis
Cuora flavomarginata,Chinese box turtle
Cuora mccordi,McCord's box turtle
Heloderma horridum,Mexican beaded lizard
Isurus paucus,Isurus
Hydnophora spp.,Stony corals
Merulina ampliata,Merulina
Acanthastrea spp.,Stony corals
Ornithoptera rothschildi,Rothschild's birdwing
Seriatopora spp.,Seriatopora
Alveopora spp.,Stony corals
Cyanoramphus auriceps,Yellow-crowned parakeet
Orthopsittaca manilata,Red-bellied macaw
Psephotus varius,Mulga parrot
Psittacula alexandri,Red-breasted parakeet
Python anchietae,Python anchietae
Ramphastos toco,Toco toucan
Sphyrna lewini,Scalloped hammerhead
Brachypelma emilia,Brachypelma emilia
Trachyphyllia geoffroyi,Open brain coral
Mauremys sinensis,Chinese stripe-necked turtle
Pavo cristatus,Indian peafowl
Potamotrygon schroederi,Potamotrygon
Physignathus cocincinus,Chinese water dragon
Addax nasomaculatus,Addax
Cacatua sulphurea,Yellow-crested cockatoo
Cercopithecus diana,Diana monkey
Neofelis nebulosa,Clouded leopard
Eulemur rufus,Red lemur
Varecia variegata,Black-and-white ruffed lemur
Amazona oratrix,Yellow-headed amazon
Ara hybrid,Macaw
Ara militaris,Military macaw
Struthio camelus,Common ostrich
Acipenser gueldenstaedtii x baerii,Sturgeon
Uromastyx nigriventris,Uromastyx nigriventris
Uromastyx ocellata,Uromastyx ocellata
Pavona spp.,St. Brandon
Arapaima gigas,Arapaima gigas
Candoia aspera,Candoia aspera
Eunectes notaeus,Yellow anaconda
Ovis polii,Marco Polo sheep
Cacatua alba,White cockatoo
Vulpes zerda,Fennec fox
Euphyllia cristata,Euphyllia cristata
Euphyllia paraancora,Euphyllia
Physogyra lichtensteini,Physogyra
Cercocebus atys,Sooty mangabey
Papio hamadryas,Hamadryas baboon
Chelodina mccordi,Roti Island snake-necked turtle
Ptyas mucosus,Ptyas mucosa
Oophaga lehmanni,Lehmann's poison frog
Clemmys guttata,Spotted turtle
Falco biarmicus,Lanner falcon
Cyphastrea spp.,Stony corals
Echinopora spp.,Polypore
Montastrea spp.,Hans Lollik Island
Felis margarita,Sand cat
Heliofungia actiniformis,Heliofungia actiniformis
Naultinus grayii,Northland green gecko
Phelsuma guimbeaui,Mauritius lowland forest day gecko
Cuora trifasciata,Golden coin turtle
Glaucostegus cemiculus,Blackchin guitarfish
Iguana delicatissima,Lesser Antillean iguana
Dyscophus antongilii,Dyscophus antongilii
Blastomussa spp.,Stony corals
Cynarina lacrymalis,Cynarina lacrymalis
Scolymia spp.,Stony corals
Arctocephalus australis,South American fur seal
Ornithoptera aesacus,Ornithoptera aesacus
Pectinia spp.,Pectiniidae
Stylophora spp.,Callistoctopus macropus
Goniopora lobata,Goniopora
Goniopora stokesi,Goniopora stokesi
Amazona albifrons,White-fronted amazon
Amazona amazonica,Orange-winged amazon
Amazona autumnalis,Red-lored amazon
Amazona farinosa,Southern mealy amazon
Ara severus,Chestnut-fronted macaw
Neophema pulchella,Turquoise parrot
Pionus menstruus,Blue-headed parrot
Poicephalus senegalus,Senegal parrot
Primolius auricollis,Golden-collared macaw
Pyrrhura perlata,Crimson-bellied parakeet
Apodora papuana,Apodora
Leiopython albertisii,D'Albertis python
Morelia amethistina,Amethystine python
Morelia bredli,Morelia bredli
Python molurus,Indian python
Pteroglossus viridis,Green aracari
Ramphastos tucanus,Ramphastos
Ramphastos vitellinus,Channel-billed toucan
Rhynchobatus spp.,Piney Point Formation
Sphyrna mokarran,Great hammerhead
Hippocampus barbouri,Barbour's seahorse
Chelonoidis denticulatus,Yellow-footed tortoise
Manouria emys,Asian forest tortoise
Testudo graeca,Greek tortoise
Brachypelma albopilosum,Tliltocatl albopilosus
Brachypelma boehmei,Brachypelma boehmei
Poecilotheria formosa,Poecilotheria formosa
Poecilotheria hanumavilasumica,Poecilotheria hanumavilasumica
Poecilotheria miranda,Poecilotheria miranda
Poecilotheria rufilata,Poecilotheria rufilata
Poecilotheria tigrinawesseli,Poecilotheria tigrinawesseli
Ursus maritimus,Polar bear
Varanus glauerti,Kimberley rock monitor
Varanus pilbarensis,Pilbara rock monitor
Varanus rudicollis,Roughneck monitor
Corallium japonicum,List of species protected by CITES Appendix III
Graptemys flavimaculata,Yellow-blotched map turtle
Mauremys reevesii,Chinese pond turtle
Anolis barbatus,Anolis barbatus
Anolis guamuhaya,Anolis guamuhaya
Anolis porcus,Anolis porcus
Hypancistrus zebra,Zebra pleco
Potamotrygon leopoldi,Xingu River ray
Balaenoptera physalus,Fin whale
Oryx leucoryx,Arabian oryx
Cacatua goffiniana,Tanimbar corella
Saguinus oedipus,Cotton-top tamarin
Microcebus murinus,Gray mouse lemur
Microcebus rufus,Brown mouse lemur
Equus africanus,African wild ass
Falco pelegrinoides,Peregrine falcon
Lygodactylus williamsi,Lygodactylus williamsi
Balearica pavonina,Black crowned crane
Gorilla gorilla,Gorilla
Pan paniscus,Bonobo
Eulemur albifrons,White-headed lemur
Amazona vinacea,Vinaceous-breasted amazon
Anodorhynchus leari,Lear's macaw
Cyanopsitta spixii,Spix's macaw
Eunymphicus cornutus,Horned parakeet
Spheniscus humboldti,Humboldt penguin
Geochelone elegans,Indian star tortoise
Testudo kleinmanni,Kleinmann's tortoise
Melursus ursinus,Sloth bear
Aquila chrysaetos,Golden eagle
Gyps fulvus,Griffon vulture
Acipenser persicus,Persian sturgeon
Huso dauricus x acipenser schrenckii,Huso
Astreopora spp.,Stony corals
Caiman crocodilus,Spectacled caiman
Paleosuchus palpebrosus,Cuvier's dwarf caiman
Paleosuchus trigonatus,Smooth-fronted caiman
Abronia lythrochila,Abronia lythrochila
Epicrates alvarezi,Epicrates alvarezi
Epicrates angulifer,Chilabothrus angulifer
Eryx jaculus,Eryx jaculus
Gongylophis conicus,Eryx conicus
Gongylophis muelleri,Eryx muelleri
Ammotragus lervia,Barbary sheep
Damaliscus pygargus pygargus,Bontebok
Ovis ammon,Argali
Lycalopex griseus,South American gray fox
Caryophyllia huinayensis,Caryophyllia
Desmophyllum dianthus,Desmophyllum
Euphyllia paradivisa,Euphyllia paradivisa
Callithrix argentata,Silvery marmoset
Cercopithecus lhoesti,L'Hoest's monkey
Cercopithecus wolfi,Wolf's mona monkey
Chlorocebus sabaeus,Green monkey
Colobus polykomos,King colobus
Lophocebus aterrimus,Black crested mangabey
Theropithecus gelada,Gelada
Archaius tigris,Tiger chameleon
Bradypodion thamnobates,Natal Midlands dwarf chameleon
Trioceros jacksonii,Jackson's chameleon
Clelia clelia,Clelia clelia
Cyclagras gigas,Hydrodynastes gigas
Smaug mossambicus,Smaug (lizard)
Crocodylus moreletii,Morelet's crocodile
Adelphobates galactonotus,Adelphobates galactonotus
Ameerega silverstonei,Ameerega
Excidobates mysteriosus,Marañón poison frog
Oophaga pumilio,Strawberry poison-dart frog
Phyllobates aurotaenia,Phyllobates aurotaenia
Ranitomeya benedicta,Ranitomeya benedicta
Ranitomeya imitator,Mimic poison frog
Duncanopsammia axifuga,Duncanopsammia
Heteropsammia cochlea,Heteropsammia cochlea
Naja sumatrana,Equatorial spitting cobra
Emydoidea blandingii,Blanding's turtle
Terrapene ornata,Terrapene ornata
Polihierax semitorquatus,Pygmy falcon
Leptastrea spp.,Stony corals
Platygyra spp.,Stony corals
Felis lybica,African wildcat
Otocolobus manul,Pallas's cat
Polyphyllia talpina,Polyphyllia
Galago demidoff,Prince Demidoff's bushbaby
Paroedura masobe,Paroedura masobe
Phelsuma borbonica,Phelsuma
Phelsuma ornata,Mauritius ornate day gecko
Phelsuma robertmertensi,Phelsuma
Phelsuma standingi,Standing's day gecko
Uroplatus henkeli,Henkel's leaf-tailed gecko
Uroplatus phantasticus,Uroplatus phantasticus
Glaucostegus spp.,List of marine aquarium fish species
Agalychnis moreletii,Morelet's tree frog
Chalcopsitta duivenbodei,Brown lory
Lorius chlorocercus,Yellow-bibbed lory
Pseudeos fuscata,Dusky lory
Mantella madagascariensis,Madagascan mantella
Hydnophora exesa,Hydnophora exesa
Monodon monoceros,Narwhal
Tauraco persa,Guinea turaco
Acanthophyllia deshayesiana,Cynarina lacrymalis
Blastomussa wellsi,Blastomussa wellsi
Lobophyllia corymbosa,Lobophyllia corymbosa
Scolymia australis,Scolymia
Scolymia vitiensis,Scolymia
Manta spp.,Giant oceanic manta ray
Myrmecophaga tridactyla,Giant anteater
Galaxea fascicularis,Galaxea fascicularis
Arctocephalus pusillus,Brown fur seal
Ornithoptera meridionalis,Ornithoptera meridionalis
Ornithoptera tithonus,Ornithoptera tithonus
Troides amphrysus,Troides amphrysus
Troides criton,Troides criton
Troides haliphron,Troides haliphron
Troides helena,Troides helena
Troides hypolitus,Troides hypolitus
Troides oblongomaculatus,Troides oblongomaculatus
Troides vandepolli,Troides vandepolli
Echinophyllia aspera,Echinophyllia aspera
Mycedium elephantotus,Teluk Cenderawasih National Park
Oxypora spp.,Stony corals
Syrmaticus reevesii,Reeves's pheasant
Deroptyus accipitrinus,Red-fan parrot
Pionus fuscus,Pionus
Poicephalus meyeri,Meyer's parrot
Antaresia maculosa,Spotted python
Aspidites melanocephalus,Black-headed python
Aspidites ramsayi,Woma python
Liasis mackloti,Liasis mackloti
Morelia clastolepis,Simalia clastolepis
Morelia nauta,Simalia nauta
Pteroglossus aracari,Black-necked aracari
Rhea americana,Greater rhea
Rhina ancylostoma,Rhina ancylostoma
Rhynchobatus djiddensis,Giant guitarfish
Tylototriton shanjing,Tylototriton shanjing
Athene noctua,Little owl
Hippocampus comes,Seahorse
Chersina angulata,Angulate tortoise
Indotestudo elongata,Elongated tortoise
Kinixys spekii,Speke's hinge-back tortoise
Aphonopelma albiceps,Brachypelma albiceps
Brachypelma kahlenbergi,Tliltocatl kahlenbergi
Poecilotheria ornata,Poecilotheria ornata
Poecilotheria subfusca,Poecilotheria subfusca
Cycloderma aubryi,Aubry's flapshell turtle
Tubipora musica,Organ pipe coral
Varanus beccarii,Black tree monitor
Varanus boehmei,Golden-spotted tree monitor
Varanus doreanus,Blue-tailed monitor
Varanus gilleni,Pygmy mulga monitor
Varanus kingorum,Kings' monitor
Varanus ornatus,Ornate monitor
Varanus panoptes,Yellow-spotted monitor
Varanus varius,Lace monitor
Antilope cervicapra,Blackbuck
Graptemys oculifera,Graptemys
Graptemys ouachitensis,Ouachita map turtle
Pterapogon kauderni,Banggai cardinalfish
Elaphe taeniura,Beauty rat snake
Ptyas korros,Ptyas korros
Tribolonotus gracilis,Red-eyed crocodile skink
Tribolonotus novaeguineae,White-eyed crocodile skink
Ailurus fulgens,Red panda
Balaenoptera edeni,Bryde's whale
Balaenoptera musculus,Blue whale
Boa constrictor occidentalis,Boa constrictor occidentalis
Sanzinia madagascariensis,Sanzinia madagascariensis
Capra falconeri megaceros,Kabul markhor
Capricornis thar,Himalayan serow
Cephalophus jentinki,Jentink's duiker
Ovis vignei,Urial
Leontopithecus rosalia,Golden lion tamarin
Macaca silenus,Lion-tailed macaque
Caretta caretta,Loggerhead sea turtle
Chelonia mydas,Green sea turtle
Cheloniidae spp.,List of species protected by CITES Appendix I
Eretmochelys imbricata,Hawksbill sea turtle
Lepidochelys olivacea,Olive ridley sea turtle
Crocodylus intermedius,Orinoco crocodile
Sotalia guianensis,Guiana dolphin
Sousa chinensis,Indo-Pacific humpback dolphin
Terrapene coahuila,Box turtle
Equus grevyi,Grévy's zebra
Leopardus geoffroyi,Geoffroy's cat
Leopardus tigrinus,Oncilla
Leopardus wiedii,Margay
Panthera onca,Jaguar
Carduelis cucullata,Red siskin
Gavialis gangeticus,Gharial
Pangshura tecta,Indian roofed turtle
Brachylophus bulabula,Brachylophus bulabula
Brachylophus fasciatus,Brachylophus fasciatus
Cyclura cornuta,Rhinoceros iguana
Propithecus coquereli,Coquerel's sifaka
Propithecus verreauxi,Verreaux's sifaka
Nycticebus pygmaeus,Pygmy slow loris
Manis gigantea,Giant pangolin
Aonyx cinerea,Asian small-clawed otter
Chlamydotis macqueenii,MacQueen's bustard
Pelecanus crispus,Dalmatian pelican
Polyplectron napoleonis,Palawan peacock-pheasant
Platysternon megacephalum,Big-headed turtle
Amazona auropalliata,Yellow-naped amazon
Amazona finschi,Lilac-crowned amazon
Guarouba guarouba,Golden parakeet
Primolius maracana,Blue-winged macaw
Leucopsar rothschildi,Bali myna
Tapirus indicus,Malayan tapir
Chelonoidis niger,Galápagos tortoise
Geronticus eremita,Northern bald ibis
Trichechus manatus,West Indian manatee
Ursus thibetanus,Asian black bear
Shinisaurus crocodilurus,Chinese crocodile lizard
Aquila nipalensis,Steppe eagle
Buteo jamaicensis,Red-tailed hawk
Gypaetus barbatus,Bearded vulture
Gypohierax angolensis,Palm-nut vulture
Gyps himalayensis,Himalayan vulture
Gyps rueppellii,Rüppell's vulture
Haliaeetus leucocephalus,Bald eagle
Hieraaetus spilogaster,African hawk-eagle
Stephanoaetus coronatus,Crowned eagle
Acropora cervicornis,Staghorn coral
Acropora digitifera,Acropora digitifera
Acropora nana,Acropora
Acropora palmata,Elkhorn coral
Acropora prolifera,Acropora prolifera
Acropora spathulata,Acropora
Gardineroseris planulata,Agariciidae
Leptoseris spp.,Stony corals
Pachyseris spp.,Stony corals
Pavona maldivensis,Pavona maldivensis
Cygnus melancoryphus,Black-necked swan
Abronia graminea,Mexican alligator lizard
Candoia paulsoni,Candoia paulsoni
Charina bottae,Rubber boa
Epicrates crassus,Epicrates crassus
Eryx miliaris,Eryx miliaris
Eryx tataricus,Eryx miliaris
Budorcas taxicolor,Takin
Cephalophus dorsalis,Bay duiker
Cephalophus silvicultor,Yellow-backed duiker
Ovis cycloceros,Urial
Ovis darwini,Darwini
Anthracoceros albirostris,Oriental pied hornbill
Rhyticeros plicatus,Blyth's hornbill
Chrysocyon brachyurus,Maned wolf
Cuon alpinus,Dhole
Carcharhinus longimanus,Oceanic whitetip shark
Carettochelys insculpta,Pig-nosed turtle
Euphyllia fimbriata,Euphylliidae
Euphyllia yaeyamaensis,Euphyllia
Cebus capucinus,Colombian white-faced capuchin
Cebus olivaceus,Wedge-capped capuchin
Saguinus midas,Golden-handed tamarin
Saimiri boliviensis,Black-capped squirrel monkey
Cercopithecus mona,Mona monkey
Cercopithecus nictitans,Greater spot-nosed monkey
Colobus angolensis,Angola colobus
Erythrocebus patas,Common patas monkey
Macaca assamensis,Assam macaque
Macaca nemestrina,Southern pig-tailed macaque
Piliocolobus badius,Western red colobus
Trachypithecus auratus,East Javan langur
Cervus elaphus,Red deer
Chamaeleo senegalensis,Chamaeleo
Furcifer lateralis,Carpet chameleon
Furcifer oustaleti,Malagasy giant chameleon
Furcifer verrucosus,Furcifer verrucosus
Kinyongia boehmei,Kinyongia boehmei
Trioceros ellioti,Trioceros ellioti
Trioceros hoehnelii,Trioceros hoehnelii
Trioceros johnstoni,Trioceros johnstoni
Smaug warreni,Smaug (lizard)
Lagenodelphis hosei,Fraser's dolphin
Stenella coeruleoalba,Striped dolphin
Stenella longirostris,Spinner dolphin
Tursiops truncatus,Common bottlenose dolphin
Ameerega trivittata,Ameerega trivittata
Dendrobates truncatus,Yellow-striped poison frog
Epipedobates tricolor,Phantasmal poison frog
Oophaga histrionica,Harlequin poison frog
Ranitomeya fantastica,Red-headed poison frog
Ranitomeya reticulata,Red-backed poison frog
Ranitomeya sirensis,Ranitomeya
Ranitomeya vanzolinii,Ranitomeya vanzolinii
Ranitomeya variabilis,Zimmerman's poison frog
Balanophyllia spp.,Stony corals
Dendrophyllia spp.,Stony corals
Enallopsammia rostrata,Enallopsammia
Tubastraea faulkneri,Tubastraea faulkneri
Turbinaria mesenterina,Turbinaria mesenterina
Dermatemys mawii,Hickatee
Naja kaouthia,Monocled cobra
Naja sputatrix,Javan spitting cobra
Ophiophagus hannah,King cobra
Gubernatrix cristata,Yellow cardinal
Malaclemys terrapin,Diamondback terrapin
Goniurosaurus luii,Goniurosaurus luii
Cryptoprocta ferox,Fossa (animal)
Falco sparverius,American kestrel
Barabattoia amicorum,Dipsastraea
Caulastraea curvata,Caulastraea
Caulastraea furcata,Caulastraea furcata
Cyphastrea japonica,Cyphastrea
Cyphastrea serailia,Cyphastrea
Diploastrea heliopora,Diploastrea heliopora
Echinopora lamellosa,Echinopora
Favites pentagona,Favites pentagona
Goniastrea australensis,Stony corals
Goniastrea palauensis,Stony corals
Leptoria phrygia,Leptoria
Montastrea cavernosa,Montastraea
Montastrea faveolata,Orbicella annularis
Montastrea franksi,Orbicella annularis
Moseleya latistellata,Moseleya (cnidarian)
Oulophyllia bennettae,Oulophyllia
Oulophyllia crispa,Oulophyllia crispa
Plesiastrea versipora,Plesiastrea versipora
Felidae hybrid,Felidae
Herpailurus yagouaroundi,Jaguarundi
Leptailurus spp.,Dog
Leptailurus hybrid,Serval
Lynx lynx,Eurasian lynx
Prionailurus bengalensis,Leopard cat
Fungia cyclolites,Cycloseris cyclolites
Fungia distorta,Cycloseris distorta
Fungia fragilis,Cycloseris
Fungia repanda,Lithophyllon repanda
Fungia tenuis,Cycloseris
Herpolitha limax,Herpolitha
Galago moholi,Mohol bushbaby
Galago senegalensis,Senegal bushbaby
Otolemur crassicaudatus,Brown greater galago
Phelsuma kochi,Phelsuma
Phelsuma lineata,Phelsuma lineata
Phelsuma mutabilis,Phelsuma mutabilis
Phelsuma nigristriata,Phelsuma nigristriata
Phelsuma parkeri,Phelsuma parkeri
Phelsuma pusilla,Phelsuma pusilla
Phelsuma quadriocellata,Phelsuma quadriocellata
Uroplatus alluaudi,Uroplatus alluaudi
Uroplatus giganteus,Giant leaf-tail gecko
Uroplatus lineatus,Lined flat-tail gecko
Uroplatus pietschmanni,Uroplatus pietschmanni
Cuora aurocapitata,Yellow-headed box turtle
Cuora pani,Asian box turtle
Mauremys japonica,Japanese pond turtle
Mauremys nigricans,Red-necked pond turtle
Sacalia quadriocellata,Sacalia
Balearica regulorum,Grey crowned crane
Bugeranus carunculatus,Wattled crane
Heliopora coerulea,Blue coral
Ctenosaura bakeri,Ctenosaura bakeri
Ctenosaura conspicuosa,Ctenosaura conspicuosa
Ctenosaura defensor,Yucatán spiny-tailed iguana
Ctenosaura quinquecarinata,Ctenosaura quinquecarinata
Podarcis pityusensis,Ibiza wall lizard
Lanthanotus borneensis,Earless monitor lizard
Chalcopsitta atra,Black lory
Chalcopsitta cardinalis,Cardinal lory
Chalcopsitta sintillata,Yellow-streaked lory
Charmosyna placentis,Red-flanked lorikeet
Eos reticulata,Blue-streaked lory
Eos rubra,Red lory
Eos squamata,Violet-necked lory
Lorius garrulus,Chattering lory
Lorius lory,Black-capped lory
Mantella aurantiaca,Golden mantella
Mantella betsileo,Brown mantella
Mantella expectata,Blue-legged mantella
Mantella laevigata,Climbing mantella
Mantella nigricans,Guibé's mantella
Mantella viridis,Green mantella
Dendrogyra cylindrus,Pillar coral
Meandrina maeandrites,Stony corals
Hydnophora rigida,Hydnophora rigida
Dyscophus guineti,Dyscophus guineti
Liocichla omeiensis,Bugun liocichla
Tauraco erythrolophus,Red-crested turaco
Acanthastrea amakusensis,Stony corals
Acanthastrea bowerbanki,Stony corals
Acanthastrea echinata,Stony corals
Acanthastrea hillae,Stony corals
Acanthastrea lordhowensis,Stony corals
Australomussa rowleyensis,Stony corals
Blastomussa merleti,Stony corals
Lobophyllia hataii,Stony corals
Symphyllia valenciennesii,Stony corals
Symphyllia wilsoni,Stony corals
Manta birostris,Giant oceanic manta ray
Mobula japanica,Spinetail mobula
Mobula mobular,Devil fish
Mobula tarapacana,Mobula
Galaxea astreata,Galaxea astreata
Ardeotis kori,Kori bustard
