Year,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2021,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,11.0,,live,,T,D
2021,Ovis vignei,Mammalia,Artiodactyla,Bovidae,Ovis,DE,GB,XX,1.0,,trophies,Number of specimens,P,O
2021,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,DE,,,2.0,live,Number of specimens,T,C
2021,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,US,DE,US,,1.0,live,Number of specimens,P,F
2021,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,DE,,,2.0,live,Number of specimens,P,C
2021,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,CH,DE,,,4.0,live,Number of specimens,T,C
2021,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,XV,DE,ID,,1.0,live,Number of specimens,P,W
2021,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,CZ,LK,,,4.0,live,Number of specimens,P,C
2021,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,CZ,LK,,3.0,,live,,P,C
2021,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,PH,,1.0,,live,Number of specimens,T,C
2021,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,US,,1.0,,live,Number of specimens,P,F
2021,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,DE,CH,,1.0,,live,Number of specimens,Z,C
2021,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,DE,CH,,1.0,,live,Number of specimens,B,C
2021,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,RU,DE,,,1.0,live,Number of specimens,Z,C
2021,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,TH,CZ,,,2.0,live,,T,C
2021,Callimico goeldii,Mammalia,Primates,Cebidae,Callimico,TH,DE,,,2.0,live,Number of specimens,T,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,AE,CZ,DE,,12.0,live,,T,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,AE,CZ,PL,,3.0,live,,T,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,AE,CZ,,,9.0,live,,T,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,MY,CZ,DE,,1.0,live,,Z,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,MY,CZ,,,1.0,live,,Z,C
2021,Leontopithecus chrysomelas,Mammalia,Primates,Cebidae,Leontopithecus,TH,DE,,,2.0,live,Number of specimens,T,C
2021,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,IL,DE,,,1.0,live,Number of specimens,Z,C
2021,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,AE,CZ,DE,,2.0,live,,T,C
2021,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,AE,CZ,,,6.0,live,,T,C
2021,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CI,,1.0,,skulls,Number of specimens,S,W
2021,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CI,,39.0,,specimens,Number of specimens,S,W
2021,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,RU,CZ,,,1.0,live,,Z,C
2021,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,RU,BY,,,1.0,live,,Z,C
2021,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,560.0,,specimens,mg,S,W
2021,Microcebus murinus,Mammalia,Primates,Cheirogaleidae,Microcebus,US,DE,MG,,46.0,specimens,Number of specimens,S,W
2021,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,CZ,CH,,3.0,,live,,Z,C
2021,Microcebus rufus,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,CH,,4.0,,live,Number of specimens,B,C
2021,Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,GB,CV,,,2183.0,specimens,,S,W
2021,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,FR,LK,,,1.0,specimens,Number of specimens,S,W
2021,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,DE,CH,XX,1.0,,carvings,Number of specimens,T,O
2021,Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,DE,GB,XX,1.0,,carvings,Number of specimens,T,O
2021,Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,FR,LK,,,1.0,specimens,Number of specimens,S,W
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,CZ,CO,,,10.0,skins,,T,D
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,CO,,57.0,,skulls,Number of specimens,T,D
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,CO,,,57.0,skulls,,T,D
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,FR,BZ,,,40.0,specimens,Number of specimens,S,W
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,GB,DE,CO,,15.0,skins,Number of specimens,T,D
2021,Crocodylus acutus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,CO,,85.0,,skins,,T,D
2021,Crocodylus intermedius,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MX,CO,,,288.0,specimens,,S,F
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,TH,MY,1.0,,skins,Number of specimens,P,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,ES,MY,27.0,,skins,,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,ES,SG,9.0,,skins,,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,ES,TH,1.0,,skins,,T,C
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,ES,TH,434.0,,skins,,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,MY,113.0,,skins,,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,SG,8.0,,skins,,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,TH,1.0,,leather products (small),,T,D
2021,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,TH,417.0,,skins,,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,SG,TH,1.0,,skins,Number of specimens,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,TH,KH,66.0,,leather products (small),Number of specimens,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,DE,TH,,6.0,,leather products (small),Number of specimens,P,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,TH,7.0,,skeletons,,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,FR,TH,83.0,,skins,,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,RU,VN,300.0,,skins,,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,TR,VN,,32.0,,skins,,T,D
2021,Crocodylus siamensis,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,DE,TH,,1.0,leather products (small),Number of specimens,T,D
2021,Sotalia guianensis,Mammalia,Cetacea,Delphinidae,Sotalia,DE,BR,,2.0,,specimens,Number of specimens,S,W
2021,Sousa chinensis,Mammalia,Cetacea,Delphinidae,Sousa,FR,LK,,,1.0,specimens,Number of specimens,S,W
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,DE,XX,,0.5,ivory carvings,kg,L,I
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,,2.0,ivory carvings,Number of specimens,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,,52.0,piano keys,Number of specimens,P,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,,104.0,piano keys,Number of specimens,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,GB,KE,104.0,,piano keys,,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,GB,XX,260.0,,piano keys,,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,2.0,,ivory carvings,Number of specimens,P,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,520.0,,piano keys,Number of specimens,P,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,468.0,,piano keys,Number of specimens,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,GB,XX,2.0,,ivory carvings,Number of specimens,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,GB,XX,40.0,,piano keys,Number of specimens,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CZ,XX,,104.0,piano keys,,T,O
2021,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,XV,DE,XX,,17.0,ivory carvings,Number of specimens,P,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CH,DE,XX,,3.0,ivory carvings,Number of specimens,Q,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,CH,XX,3.0,,ivory carvings,Number of specimens,Q,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,CH,XX,1.0,,ivory pieces,Number of specimens,Q,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,GB,MM,1.0,,ivory carvings,Number of specimens,Q,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,GB,XX,1.0,,ivory carvings,Number of specimens,Q,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,GB,XX,3.0,,ivory carvings,Number of specimens,T,O
2021,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,XV,DE,XX,,4.0,ivory carvings,Number of specimens,Q,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,DE,XX,,52.0,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,TZ,,52.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,0.4,ivory carvings,kg,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,4.0,ivory carvings,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,5.0,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,1284.0,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,52.0,piano keys,Number of specimens,P,W
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,468.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,ZM,,52.0,piano keys,Number of specimens,P,W
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CN,DE,XX,,104.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CZ,GB,XX,1.0,,feet,,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,2.0,,ivory carvings,Number of specimens,Q,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,1.0,,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,52.0,,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,104.0,,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,GB,XX,3.0,,ivory carvings,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,GB,XX,4.0,,ivory carvings,Number of specimens,Q,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,GB,XX,1.0,,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,NO,TZ,52.0,,piano keys,Number of specimens,T,W
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZA,XX,52.0,,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,DE,XX,,52.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,DE,XX,,52.0,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,JP,DE,XX,,1716.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,MX,DE,XX,,3.0,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,RU,DE,XX,,3.0,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SA,DE,XX,,1.0,ivory carvings,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,CD,,,75.0,ivory pieces,g,L,W
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,DE,XX,,1.27,ivory carvings,kg,L,I
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,DE,XX,,4.0,ivory carvings,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,DE,XX,,52.0,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,DE,XX,,72.0,piano keys,Number of specimens,T,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,XV,DE,XX,,2.0,ivory carvings,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,XV,DE,XX,,3.0,ivory carvings,Number of specimens,Q,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,DE,XX,,50.0,piano keys,Number of specimens,P,O
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MZ,,,5.0,trophies,,H,W
2021,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MZ,,,2.0,tusks,,H,W
2021,Terrapene coahuila,Reptilia,Testudines,Emydidae,Terrapene,CH,DE,,,2.0,live,Number of specimens,T,C
2021,Equus africanus,Mammalia,Perissodactyla,Equidae,Equus,CZ,CH,,1.0,,live,,Z,C
2021,Equus africanus,Mammalia,Perissodactyla,Equidae,Equus,DE,US,,21.0,,specimens,cm3,S,F
2021,Equus grevyi,Mammalia,Perissodactyla,Equidae,Equus,RU,CZ,,,2.0,live,,Z,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,AE,CZ,,,75.0,live,,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,AE,DE,,,76.0,live,Number of specimens,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,BG,QA,ES,5.0,,live,,B,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,BH,CZ,,,20.0,live,,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,BH,DE,,,3.0,live,Number of specimens,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,CZ,AE,GB,1.0,,live,,P,D
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,IQ,ES,XX,10.0,,live,,Z,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,KW,CZ,,,64.0,live,,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,KW,DE,,,4.0,live,Number of specimens,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,QA,CZ,,,27.0,live,,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,QA,DE,,,21.0,live,Number of specimens,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,SA,CZ,,,13.0,live,,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,SA,DE,,,10.0,live,Number of specimens,T,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,SK,AE,MA,2.0,,live,,P,C
2021,Falco hybrid,Aves,Falconiformes,Falconidae,Falco,TR,DE,TR,1.0,,live,,T,R
2021,Falco pelegrinoides,Aves,Falconiformes,Falconidae,Falco,AE,CZ,SK,,1.0,live,,T,C
2021,Falco pelegrinoides,Aves,Falconiformes,Falconidae,Falco,KW,CZ,,,1.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,AE,CZ,,,27.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,AE,DE,,,169.0,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,AE,SK,,,27.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,BG,BH,DK,1.0,,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,BH,CZ,,,2.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,BH,DE,,,58.0,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,BH,SK,,,4.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,BH,AT,1.0,,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,BH,CA,1.0,,live,Number of specimens,T,D
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,BH,ES,1.0,,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,BH,IT,1.0,,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,BH,NL,1.0,,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,CH,CH,1.0,,live,Number of specimens,P,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,CH,,1.0,,live,Number of specimens,P,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,DE,QA,AT,3.0,,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,GE,CZ,,,2.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,KW,CZ,,,24.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,KW,DE,,,16.0,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,QA,CZ,,,27.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,QA,DE,,,119.0,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,QA,DE,,,10.0,live,Number of specimens,T,D
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,SA,CZ,,,18.0,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,SA,DE,,,67.0,live,Number of specimens,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,SK,AE,AT,3.0,,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,SK,AE,DE,6.0,,live,,T,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,TR,ES,TR,1.0,,live,,P,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,XV,DE,AT,,1.0,live,Number of specimens,P,C
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,XV,DE,GB,,1.0,live,Number of specimens,P,F
2021,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,XV,DE,,,7.0,live,Number of specimens,P,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,AE,CZ,,,3.0,live,,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,AE,DE,,,273.0,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,BH,DE,,,9.0,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CH,IS,,,1.0,bodies,,E,W
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CZ,AE,DE,1.0,,live,,P,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CZ,AE,ES,2.0,,live,,P,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CZ,AE,FR,1.0,,live,,P,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CZ,AE,GB,1.0,,live,,P,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,CZ,CA,,1.0,,live,,T,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,AE,DE,3.0,,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,AE,ES,1.0,,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,BH,CA,1.0,,live,Number of specimens,T,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,GB,,3.0,,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,QA,DE,1.0,,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,DE,US,,1.0,,live,Number of specimens,T,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,GB,SK,DE,,8.0,live,,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,KW,CZ,SK,,2.0,live,,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,KW,CZ,,,1.0,live,,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,KW,DE,,,4.0,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,QA,CZ,,,11.0,live,,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,QA,DE,,,19.0,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,QA,DE,,,54.0,live,Number of specimens,T,D
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SA,DE,GB,,3.0,live,Number of specimens,T,C
2021,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SK,AE,DE,6.0,,live,,T,C
